id,name,type1,type2,moves,weight,height,hp,attack,defense,sp_atk,sp_def,speed
1,bulbasaur,grass,poison,"{'reflect', 'sunny-day', 'safeguard', 'razor-leaf', 'grassy-glide', 'grass-knot', 'petal-dance', 'double-team', 'confide', 'outrage', 'captivate', 'ingrain', 'protect', 'mimic', 'sweet-scent', 'amnesia', 'frustration', 'magical-leaf', 'echoed-voice', 'fury-cutter', 'growl', 'toxic', 'leaf-storm', 'giga-drain', 'grass-whistle', 'worry-seed', 'swords-dance', 'sleep-talk', 'mega-drain', 'seed-bomb', 'knock-off', 'string-shot', 'solar-beam', 'attract', 'growth', 'razor-wind', 'rage', 'headbutt', 'weather-ball', 'rest', 'flash', 'grass-pledge', 'swagger', 'grassy-terrain', 'synthesis', 'poison-powder', 'sleep-powder', 'curse', 'double-edge', 'work-up', 'secret-power', 'facade', 'hidden-power', 'return', 'energy-ball', 'cut', 'vine-whip', 'power-whip', 'rock-smash', 'snore', 'defense-curl', 'venoshock', 'bullet-seed', 'bide', 'tackle', 'charm', 'leech-seed', 'mud-slap', 'false-swipe', 'substitute', 'sludge-bomb', 'round', 'bind', 'skull-bash', 'helping-hand', 'endure', 'nature-power', 'strength', 'sludge', 'natural-gift', 'light-screen', 'body-slam', 'take-down'}",69,7,45,49,49,65,65,45
2,ivysaur,grass,poison,"{'reflect', 'sunny-day', 'safeguard', 'razor-leaf', 'grassy-glide', 'grass-knot', 'double-team', 'confide', 'outrage', 'captivate', 'protect', 'mimic', 'sweet-scent', 'amnesia', 'frustration', 'magical-leaf', 'echoed-voice', 'fury-cutter', 'growl', 'toxic', 'leaf-storm', 'giga-drain', 'worry-seed', 'swords-dance', 'sleep-talk', 'mega-drain', 'seed-bomb', 'knock-off', 'string-shot', 'solar-beam', 'attract', 'growth', 'rage', 'headbutt', 'weather-ball', 'rest', 'flash', 'grass-pledge', 'swagger', 'grassy-terrain', 'synthesis', 'poison-powder', 'sleep-powder', 'curse', 'double-edge', 'work-up', 'secret-power', 'facade', 'hidden-power', 'return', 'energy-ball', 'cut', 'vine-whip', 'power-whip', 'rock-smash', 'snore', 'defense-curl', 'venoshock', 'bullet-seed', 'bide', 'tackle', 'charm', 'leech-seed', 'mud-slap', 'false-swipe', 'substitute', 'sludge-bomb', 'round', 'bind', 'helping-hand', 'endure', 'nature-power', 'strength', 'natural-gift', 'light-screen', 'body-slam', 'take-down'}",130,10,60,62,63,80,80,60
3,venusaur,grass,poison,"{'reflect', 'sunny-day', 'safeguard', 'razor-leaf', 'grassy-glide', 'grass-knot', 'petal-dance', 'double-team', 'confide', 'outrage', 'captivate', 'protect', 'mimic', 'sweet-scent', 'amnesia', 'frustration', 'magical-leaf', 'echoed-voice', 'fury-cutter', 'growl', 'stomping-tantrum', 'toxic', 'earthquake', 'leaf-storm', 'earth-power', 'giga-drain', 'worry-seed', 'swords-dance', 'sleep-talk', 'mega-drain', 'seed-bomb', 'knock-off', 'string-shot', 'roar', 'solar-beam', 'attract', 'growth', 'hyper-beam', 'rage', 'headbutt', 'weather-ball', 'rest', 'flash', 'grass-pledge', 'swagger', 'grassy-terrain', 'synthesis', 'poison-powder', 'frenzy-plant', 'sleep-powder', 'curse', 'double-edge', 'work-up', 'secret-power', 'facade', 'bulldoze', 'hidden-power', 'return', 'energy-ball', 'petal-blizzard', 'cut', 'vine-whip', 'power-whip', 'rock-smash', 'snore', 'defense-curl', 'venoshock', 'block', 'bullet-seed', 'bide', 'tackle', 'charm', 'leech-seed', 'mud-slap', 'false-swipe', 'terrain-pulse', 'substitute', 'sludge-bomb', 'round', 'rock-climb', 'bind', 'helping-hand', 'endure', 'nature-power', 'strength', 'natural-gift', 'giga-impact', 'light-screen', 'body-slam', 'take-down'}",1000,20,80,82,83,100,100,80
4,charmander,fire,,"{'overheat', 'reflect', 'sunny-day', 'dragon-rush', 'dragon-breath', 'flamethrower', 'rock-slide', 'fire-blast', 'fling', 'scratch', 'dragon-tail', 'double-team', 'confide', 'outrage', 'captivate', 'protect', 'mimic', 'inferno', 'aerial-ace', 'fury-swipes', 'dragon-rage', 'shadow-claw', 'frustration', 'bite', 'heat-wave', 'wing-attack', 'echoed-voice', 'fury-cutter', 'growl', 'toxic', 'submission', 'crunch', 'tera-blast', 'dragon-dance', 'swords-dance', 'sleep-talk', 'air-cutter', 'swift', 'flame-burst', 'rock-tomb', 'roar', 'thunder-punch', 'attract', 'flare-blitz', 'brick-break', 'rage', 'headbutt', 'mega-kick', 'weather-ball', 'mega-punch', 'fire-punch', 'scary-face', 'rest', 'counter', 'focus-punch', 'swagger', 'flame-charge', 'incinerate', 'ancient-power', 'curse', 'dragon-claw', 'acrobatics', 'double-edge', 'work-up', 'secret-power', 'belly-drum', 'dynamic-punch', 'facade', 'ember', 'hidden-power', 'return', 'cut', 'iron-tail', 'seismic-toss', 'rock-smash', 'snore', 'fire-fang', 'fire-spin', 'defense-curl', 'bide', 'dragon-pulse', 'beat-up', 'mud-slap', 'will-o-wisp', 'false-swipe', 'dig', 'substitute', 'round', 'focus-blast', 'smokescreen', 'power-up-punch', 'skull-bash', 'helping-hand', 'metal-claw', 'endure', 'fire-pledge', 'strength', 'natural-gift', 'hone-claws', 'body-slam', 'take-down', 'slash', 'leer'}",85,6,39,52,43,60,50,65
5,charmeleon,fire,,"{'overheat', 'reflect', 'sunny-day', 'dragon-breath', 'flamethrower', 'rock-slide', 'fire-blast', 'fling', 'scratch', 'dragon-tail', 'double-team', 'confide', 'outrage', 'captivate', 'protect', 'mimic', 'inferno', 'aerial-ace', 'fury-swipes', 'dragon-rage', 'shadow-claw', 'frustration', 'heat-wave', 'echoed-voice', 'fury-cutter', 'growl', 'toxic', 'submission', 'crunch', 'tera-blast', 'dragon-dance', 'swords-dance', 'sleep-talk', 'swift', 'flame-burst', 'rock-tomb', 'roar', 'thunder-punch', 'attract', 'flare-blitz', 'brick-break', 'rage', 'headbutt', 'mega-kick', 'weather-ball', 'mega-punch', 'fire-punch', 'scary-face', 'rest', 'counter', 'focus-punch', 'swagger', 'flame-charge', 'incinerate', 'curse', 'dragon-claw', 'acrobatics', 'double-edge', 'work-up', 'secret-power', 'dynamic-punch', 'facade', 'ember', 'hidden-power', 'return', 'cut', 'iron-tail', 'seismic-toss', 'rock-smash', 'snore', 'fire-fang', 'fire-spin', 'defense-curl', 'bide', 'dragon-pulse', 'beat-up', 'mud-slap', 'will-o-wisp', 'false-swipe', 'dig', 'substitute', 'round', 'smokescreen', 'power-up-punch', 'skull-bash', 'helping-hand', 'metal-claw', 'endure', 'fire-pledge', 'strength', 'natural-gift', 'hone-claws', 'body-slam', 'take-down', 'slash', 'leer'}",190,11,58,64,58,80,65,80
6,charizard,fire,flying,"{'overheat', 'reflect', 'sandstorm', 'sunny-day', 'dragon-breath', 'flamethrower', 'roost', 'rock-slide', 'steel-wing', 'fire-blast', 'fling', 'scratch', 'dragon-tail', 'double-team', 'breaking-swipe', 'confide', 'outrage', 'captivate', 'scale-shot', 'protect', 'mimic', 'inferno', 'aerial-ace', 'fury-swipes', 'dragon-rage', 'scorching-sands', 'shadow-claw', 'mystical-fire', 'frustration', 'heat-wave', 'fly', 'wing-attack', 'echoed-voice', 'fury-cutter', 'growl', 'toxic', 'submission', 'earthquake', 'crunch', 'hurricane', 'ominous-wind', 'tera-blast', 'dragon-dance', 'twister', 'swords-dance', 'sleep-talk', 'air-cutter', 'tailwind', 'swift', 'flame-burst', 'rock-tomb', 'roar', 'solar-beam', 'thunder-punch', 'attract', 'flare-blitz', 'hyper-beam', 'brick-break', 'rage', 'headbutt', 'mega-kick', 'blast-burn', 'mega-punch', 'fire-punch', 'weather-ball', 'defog', 'scary-face', 'rest', 'counter', 'focus-punch', 'swagger', 'flame-charge', 'incinerate', 'curse', 'dragon-claw', 'acrobatics', 'double-edge', 'work-up', 'secret-power', 'dynamic-punch', 'facade', 'ember', 'bulldoze', 'blaze-kick', 'hidden-power', 'return', 'cut', 'iron-tail', 'heat-crash', 'fissure', 'seismic-toss', 'rock-smash', 'snore', 'fire-fang', 'fire-spin', 'defense-curl', 'sky-drop', 'brutal-swing', 'bide', 'dragon-pulse', 'beat-up', 'mud-slap', 'will-o-wisp', 'false-swipe', 'dig', 'substitute', 'round', 'focus-blast', 'smokescreen', 'power-up-punch', 'skull-bash', 'helping-hand', 'metal-claw', 'endure', 'air-slash', 'fire-pledge', 'strength', 'natural-gift', 'giga-impact', 'dual-wingbeat', 'hone-claws', 'body-slam', 'take-down', 'slash', 'leer'}",905,17,78,84,78,109,85,100
7,squirtle,water,,"{'reflect', 'aqua-ring', 'water-pledge', 'rock-slide', 'blizzard', 'fling', 'double-team', 'water-spout', 'confide', 'gyro-ball', 'outrage', 'captivate', 'protect', 'mimic', 'aqua-tail', 'hail', 'dive', 'aqua-jet', 'frustration', 'bite', 'bubble', 'whirlpool', 'flail', 'withdraw', 'toxic', 'water-pulse', 'submission', 'rapid-spin', 'haze', 'water-gun', 'yawn', 'rain-dance', 'sleep-talk', 'zen-headbutt', 'rock-tomb', 'waterfall', 'confusion', 'attract', 'iron-defense', 'brick-break', 'mud-sport', 'rage', 'headbutt', 'mega-kick', 'mega-punch', 'weather-ball', 'flip-turn', 'life-dew', 'rest', 'counter', 'focus-punch', 'swagger', 'rollout', 'mirror-coat', 'curse', 'fake-out', 'bubble-beam', 'aura-sphere', 'double-edge', 'scald', 'shell-smash', 'work-up', 'secret-power', 'dynamic-punch', 'muddy-water', 'facade', 'follow-me', 'hidden-power', 'tail-whip', 'surf', 'mist', 'refresh', 'return', 'ice-punch', 'iron-tail', 'seismic-toss', 'rock-smash', 'snore', 'defense-curl', 'hydro-pump', 'bide', 'tackle', 'dragon-pulse', 'mud-slap', 'false-swipe', 'ice-beam', 'dig', 'substitute', 'round', 'icy-wind', 'power-up-punch', 'skull-bash', 'helping-hand', 'endure', 'strength', 'natural-gift', 'foresight', 'body-slam', 'take-down', 'brine'}",90,5,44,48,65,50,64,43
8,wartortle,water,,"{'reflect', 'water-pledge', 'rock-slide', 'blizzard', 'fling', 'double-team', 'confide', 'gyro-ball', 'outrage', 'captivate', 'protect', 'mimic', 'aqua-tail', 'hail', 'dive', 'frustration', 'bite', 'bubble', 'whirlpool', 'withdraw', 'toxic', 'water-pulse', 'submission', 'rapid-spin', 'water-gun', 'rain-dance', 'sleep-talk', 'zen-headbutt', 'rock-tomb', 'waterfall', 'attract', 'iron-defense', 'brick-break', 'rage', 'headbutt', 'mega-kick', 'mega-punch', 'weather-ball', 'flip-turn', 'rest', 'counter', 'focus-punch', 'swagger', 'rollout', 'curse', 'bubble-beam', 'aura-sphere', 'double-edge', 'scald', 'shell-smash', 'work-up', 'secret-power', 'dynamic-punch', 'muddy-water', 'facade', 'hidden-power', 'tail-whip', 'surf', 'return', 'ice-punch', 'iron-tail', 'seismic-toss', 'rock-smash', 'snore', 'defense-curl', 'hydro-pump', 'bide', 'tackle', 'dragon-pulse', 'mud-slap', 'false-swipe', 'ice-beam', 'dig', 'substitute', 'round', 'icy-wind', 'power-up-punch', 'skull-bash', 'helping-hand', 'endure', 'strength', 'natural-gift', 'body-slam', 'take-down', 'brine'}",225,10,59,63,80,65,80,58
9,blastoise,water,,"{'reflect', 'water-pledge', 'hydro-cannon', 'rock-slide', 'blizzard', 'fling', 'dragon-tail', 'double-team', 'confide', 'gyro-ball', 'outrage', 'captivate', 'protect', 'mimic', 'aqua-tail', 'hail', 'dive', 'aqua-jet', 'body-press', 'frustration', 'bite', 'bubble', 'smack-down', 'whirlpool', 'signal-beam', 'withdraw', 'toxic', 'water-pulse', 'submission', 'earthquake', 'crunch', 'rapid-spin', 'flash-cannon', 'water-gun', 'rain-dance', 'sleep-talk', 'zen-headbutt', 'rock-tomb', 'roar', 'waterfall', 'attract', 'hyper-beam', 'iron-defense', 'brick-break', 'rage', 'headbutt', 'mega-kick', 'dark-pulse', 'weather-ball', 'mega-punch', 'flip-turn', 'rest', 'counter', 'focus-punch', 'swagger', 'liquidation', 'rollout', 'curse', 'fake-out', 'bubble-beam', 'aura-sphere', 'double-edge', 'scald', 'shell-smash', 'work-up', 'secret-power', 'dynamic-punch', 'muddy-water', 'facade', 'bulldoze', 'hidden-power', 'tail-whip', 'surf', 'return', 'ice-punch', 'iron-tail', 'fissure', 'seismic-toss', 'rock-smash', 'snore', 'defense-curl', 'hydro-pump', 'bide', 'tackle', 'dragon-pulse', 'mud-slap', 'false-swipe', 'ice-beam', 'dig', 'substitute', 'terrain-pulse', 'round', 'icy-wind', 'focus-blast', 'rock-climb', 'power-up-punch', 'skull-bash', 'helping-hand', 'endure', 'strength', 'natural-gift', 'giga-impact', 'avalanche', 'body-slam', 'take-down', 'brine'}",855,16,79,83,100,85,105,78
10,caterpie,bug,,"{'snore', 'tackle', 'bug-bite', 'string-shot', 'electroweb'}",29,3,45,30,35,20,20,45
11,metapod,bug,,"{'bug-bite', 'iron-defense', 'string-shot', 'electroweb', 'harden'}",99,7,50,20,55,25,25,30
